,Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0,0.0,Wed Apr 18 04:13:55 +0000 2018,1.0,0.0,0.0,@McDonalds,@itsjuztin The UberEATS website &amp; app will confirm if your address is eligible for delivery.,1
1,0.0,Wed Apr 18 04:04:52 +0000 2018,1.0,0.0,0.0,@McDonalds,"@Arielle140 Hey, Arielle! The UberEATS website &amp; app will confirm if your address is eligible for delivery. 😍",2
2,0.8502,Wed Apr 18 04:03:25 +0000 2018,0.618,0.0,0.382,@McDonalds,"@The_Brodiie Sounds good to us, Adam! We are always craving the opportunity to see more of you. :)",3
3,0.0,Wed Apr 18 03:39:58 +0000 2018,1.0,0.0,0.0,@McDonalds,@miriam_margaret The UberEATS website &amp; app will confirm if your address is eligible for delivery.,4
4,0.0,Wed Apr 18 03:12:30 +0000 2018,1.0,0.0,0.0,@McDonalds,"@lynnskyi We'll have some waiting for you, Lynn! 😍",5
5,0.8122,Wed Apr 18 03:04:51 +0000 2018,0.351,0.0,0.649,@McDonalds,"@strangecase Hey, thanks for the love!",6
6,0.0,Wed Apr 18 02:41:55 +0000 2018,1.0,0.0,0.0,@McDonalds,@KeyannaMartin1 You are making us hungry…,7
7,0.0,Wed Apr 18 02:36:29 +0000 2018,1.0,0.0,0.0,@McDonalds,@Malachi_Luster The UberEATS website &amp; app will confirm if your address is eligible for delivery.,8
8,0.9097,Wed Apr 18 02:22:26 +0000 2018,0.359,0.0,0.641,@McDonalds,"@DelaneyShay1 That’s cool, Delaney! Sounds like you have great taste! :)",9
9,0.8122,Wed Apr 18 02:01:00 +0000 2018,0.403,0.0,0.597,@McDonalds,"@TaylorSartori14 Hey Noah, thanks for the love!",10
10,0.508,Wed Apr 18 00:13:51 +0000 2018,0.646,0.0,0.354,@McDonalds,"@kimberellaaa_ Treat yourself, Kim! You've earned it!",11
11,0.8502,Tue Apr 17 23:55:00 +0000 2018,0.602,0.0,0.398,@McDonalds,@NUlTBLANC Sounds good to us! We are always craving the opportunity to see more of you. :),12
12,0.7777,Tue Apr 17 23:27:29 +0000 2018,0.435,0.0,0.565,@McDonalds,"@moonkriscent Sounds like you’re livin’ the dream, Kris! :)",13
13,0.7579,Tue Apr 17 23:20:00 +0000 2018,0.4,0.0,0.6,@McDonalds,@julezsntna Sounds like you’re livin’ the dream. :),14
14,0.9097,Tue Apr 17 23:07:00 +0000 2018,0.359,0.0,0.641,@McDonalds,"@makadeIic That’s cool, Mak! Sounds like you have great taste! :)",15
15,0.7579,Tue Apr 17 23:00:27 +0000 2018,0.444,0.0,0.556,@McDonalds,"@Melrubalcaba00 Sounds like you’re livin’ the dream, Melissa. :)",16
16,0.7639,Tue Apr 17 22:42:24 +0000 2018,0.45,0.118,0.432,@McDonalds,@princessgingi Awesome! Bet you're making some people green with envy! :),17
17,-0.2129,Tue Apr 17 22:40:26 +0000 2018,0.475,0.288,0.237,@McDonalds,"@sara_witte123 Because you deserve nothing but the best, Sara! :)",18
18,0.8502,Tue Apr 17 22:39:29 +0000 2018,0.618,0.0,0.382,@McDonalds,"@lovelydisastern Sounds good to us, Madalynn! We are always craving the opportunity to see more of you. :)",19
19,0.6239,Tue Apr 17 22:31:00 +0000 2018,0.719,0.0,0.281,@McDonalds,"@stileskjd That’s cool! It’s like that old saying “The stomach wants what the stomach wants.""",20
20,0.807,Tue Apr 17 22:25:24 +0000 2018,0.523,0.0,0.477,@McDonalds,"@sarahlloydd23 That's great to hear, Sarah! Thanks for the feedback.",21
21,0.7579,Tue Apr 17 22:23:50 +0000 2018,0.444,0.0,0.556,@McDonalds,"@michellehatchxo Sounds like you’re livin’ the dream, Michelle. :)",22
22,0.9097,Tue Apr 17 22:19:27 +0000 2018,0.325,0.0,0.675,@McDonalds,@mermaidere That’s cool! Sounds like you have great taste! :),23
23,0.8122,Tue Apr 17 22:10:50 +0000 2018,0.549,0.0,0.451,@McDonalds,"@ElliotTanner0 Eli, thanks for the love! We’ll see you soon then.",24
